t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912924,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912925,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912926,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912926,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912926,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912926,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912926,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912926,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912926,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912926,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912926,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912926,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912926,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912926,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912926,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912926,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912926,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912926,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912926,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912926,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912926,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912926,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912926,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912926,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912926,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912926,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912926,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912926,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912926,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912926,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912926,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912926,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912926,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912926,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912926,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912926,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912926,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912926,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912926,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912926,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912926,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912926,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912926,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912926,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912926,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912926,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912926,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912926,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912926,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912926,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912926,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912926,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912926,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912926,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912926,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912926,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912926,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912926,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912926,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912926,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912926,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912926,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912926,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912926,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912926,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912926,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912926,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912926,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912926,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912926,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912926,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912926,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912926,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912926,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912926,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912926,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912926,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912926,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912926,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912926,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912926,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912926,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912926,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912926,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912926,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912926,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912926,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912926,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912926,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912926,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912926,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912926,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912926,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912926,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912926,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912926,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912926,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912926,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912926,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912926,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912926,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912926,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912926,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912926,0,0.000000,0.000000,0.000000,0.000000,events/second
1616912926,0,0.000000,0.000000,0.000000,0.000000,events/second
